serial_no,song_name,album,track_number,id,url,acousticness,energy,danceability,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
178,Holy Ground (Taylor's Version),Red (Taylor's Version),11,7J4b3LVCIGO4CMBDFLPoP6,spotify:track:7J4b3LVCIGO4CMBDFLPoP6,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,64
179,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),12,73qMN9bXy7MSPwwGfH3wQr,spotify:track:73qMN9bXy7MSPwwGfH3wQr,0.622,0.601,0.406,9.19E-05,0.133,-11.827,0.0275,130.059,0.232,65
180,The Lucky One (Taylor's Version),Red (Taylor's Version),13,4e5ayHsOLJNLTGfjau2mEw,spotify:track:4e5ayHsOLJNLTGfjau2mEw,0.066,0.686,0.571,0,0.0608,-7.138,0.05,117.889,0.538,63
181,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),14,7qEUFOVcxRI19tbT68JcYK,spotify:track:7qEUFOVcxRI19tbT68JcYK,0.271,0.498,0.61,0,0.223,-5.098,0.0363,79.918,0.474,70
182,Starlight (Taylor's Version),Red (Taylor's Version),15,7A2cNLRT0YJc1yjxHlKihs,spotify:track:7A2cNLRT0YJc1yjxHlKihs,0.00324,0.628,0.685,0,0.18,-5.864,0.0358,126.014,0.605,63
183,Begin Again (Taylor's Version),Red (Taylor's Version),16,05GsNucq8Bngd9fnd4fRa0,spotify:track:05GsNucq8Bngd9fnd4fRa0,0.075,0.519,0.527,0,0.132,-7.673,0.0274,78.915,0.267,66
184,The Moment I Knew (Taylor's Version),Red (Taylor's Version),17,0NRHj8hDwwmSPaA41o379r,spotify:track:0NRHj8hDwwmSPaA41o379r,0.0494,0.636,0.402,0,0.107,-7.855,0.031,125.952,0.208,63
185,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),18,4pNApnaUWAL2J4KO2eqokq,spotify:track:4pNApnaUWAL2J4KO2eqokq,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,0.399,66
186,Girl At Home (Taylor's Version),Red (Taylor's Version),19,0DMVrlMUn01M0IcpDbwgu7,spotify:track:0DMVrlMUn01M0IcpDbwgu7,0.00955,0.691,0.736,1.88E-05,0.101,-6.974,0.0326,125.089,0.612,61
187,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),20,5jAIouBES8LWMiriuNq170,spotify:track:5jAIouBES8LWMiriuNq170,0.663,0.445,0.131,1.57E-06,0.108,-13.778,0.0564,208.918,0.101,61
188,Ronan (Taylor's Version),Red (Taylor's Version),21,7nWui6jiMM2m9qFmET1Mtj,spotify:track:7nWui6jiMM2m9qFmET1Mtj,0.661,0.623,0.279,0,0.193,-10.802,0.031,116.04,0.38,58
189,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),22,4OmFmE0fzcMG6g0Y8p4eSD,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,0.255,67
190,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),23,01K4zKU104LyJ8gMb7227B,spotify:track:01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0,0.154,-9.455,0.0275,101.96,0.446,70
191,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),24,0v4z1tuZvn6LGknom9Qx7d,spotify:track:0v4z1tuZvn6LGknom9Qx7d,0.0538,0.584,0.743,2.83E-06,0.121,-7.075,0.0931,167.844,0.746,67
192,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),25,3z6XUommYDWPHeFhmhhT6j,spotify:track:3z6XUommYDWPHeFhmhhT6j,0.00188,0.622,0.791,3.72E-06,0.083,-6.106,0.0535,115.915,0.494,70
193,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),26,4CkgMiMqZ5JzW9iYXSTMTL,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0.473,70
194,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),27,3oGVx9RBmiYGv5ZCecWLkx,spotify:track:3oGVx9RBmiYGv5ZCecWLkx,0.256,0.611,0.552,0,0.134,-5.828,0.031,116.012,0.41,63
195,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),28,4IQkfUsrwXol38VV3U7t7T,spotify:track:4IQkfUsrwXol38VV3U7t7T,0.817,0.61,0.488,0,0.312,-6.918,0.0293,125.039,0.443,64
196,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),29,6pYNq0ZwpPVazKzsqpf0G8,spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,0.581,69
197,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),30,5enxwA8aAbwZbf5qCHORXi,spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0.205,80
198,Fearless (Taylor’s Version),Fearless (Taylor's Version),1,77sMIMlNaSURUAXq5coCxE,spotify:track:77sMIMlNaSURUAXq5coCxE,0.0122,0.569,0.741,0,0.333,-4.963,0.0282,100.118,0.43,78
199,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2,2nqio0SfWg6gh2eCtfuMa5,spotify:track:2nqio0SfWg6gh2eCtfuMa5,0.116,0.559,0.646,0,0.32,-4.61,0.0272,95.466,0.289,66
200,Love Story (Taylor’s Version),Fearless (Taylor's Version),3,6YvqWjhGD8mB5QXcbcUKtx,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,0.13,0.627,0.792,3.97E-06,0.0845,-4.311,0.031,119.054,0.415,78
201,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),4,550erGcdD9n6PnwxrvYqZT,spotify:track:550erGcdD9n6PnwxrvYqZT,0.106,0.788,0.571,0,0.0934,-6.135,0.0296,115.99,0.797,65
202,White Horse (Taylor’s Version),Fearless (Taylor's Version),5,5YL553x8sHderRBDlm3NM3,spotify:track:5YL553x8sHderRBDlm3NM3,0.369,0.423,0.517,0,0.177,-7.377,0.0486,185.262,0.366,67
203,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),6,1qrpoAMXodY6895hGKoUpA,spotify:track:1qrpoAMXodY6895hGKoUpA,0.0623,0.632,0.773,0,0.0885,-4.856,0.0346,130.033,0.474,81
204,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),7,7HC7R2D8WjXVcUHJyEGjRs,spotify:track:7HC7R2D8WjXVcUHJyEGjRs,0.156,0.506,0.626,0,0.228,-6.066,0.0287,148.035,0.321,63
205,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),8,0k0vFacOHNuArLWMiH60p7,spotify:track:0k0vFacOHNuArLWMiH60p7,0.0222,0.578,0.909,0,0.333,-3.669,0.0628,100.023,0.541,62
206,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),9,6iiAfo4wTA2CVC3Uwx9uh8,spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,0.0538,0.506,0.444,0,0.123,-4.99,0.0285,133.873,0.241,64
207,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),10,22bPsP2jCgbLUvh82U0Z3M,spotify:track:22bPsP2jCgbLUvh82U0Z3M,0.0033,0.402,0.732,0,0.108,-4.665,0.0484,161.032,0.472,76
208,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),11,1msEuwSBneBKpVCZQcFTsU,spotify:track:1msEuwSBneBKpVCZQcFTsU,0.0231,0.598,0.821,0,0.143,-4.433,0.0447,128.03,0.673,67
209,The Best Day (Taylor’s Version),Fearless (Taylor's Version),12,6ON9UuIq49xXY9GPmHIYRp,spotify:track:6ON9UuIq49xXY9GPmHIYRp,0.488,0.642,0.576,0,0.159,-8.524,0.0282,125,0.469,61
210,Change (Taylor’s Version),Fearless (Taylor's Version),13,3ExweHKZF9B752DPQByRVT,spotify:track:3ExweHKZF9B752DPQByRVT,0.000191,0.499,0.815,0,0.181,-4.063,0.0341,95.999,0.344,60
211,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),14,2m3ObD945KvpE5y9A1eUWm,spotify:track:2m3ObD945KvpE5y9A1eUWm,0.0474,0.572,0.69,0,0.0897,-6.201,0.0358,160.111,0.624,62
212,Untouchable (Taylor’s Version),Fearless (Taylor's Version),15,0tQ9vBYpldCuikPsbgOVKA,spotify:track:0tQ9vBYpldCuikPsbgOVKA,0.0181,0.393,0.531,0,0.169,-6.112,0.0329,200.391,0.224,63
213,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),16,01QdEx6kFr78ZejhQtWR5m,spotify:track:01QdEx6kFr78ZejhQtWR5m,0.819,0.546,0.273,0,0.137,-9.208,0.0308,118.753,0.271,61
214,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),17,1n2wszmJyVkw6FHqyLnQsY,spotify:track:1n2wszmJyVkw6FHqyLnQsY,0.0406,0.476,0.564,0,0.102,-5.677,0.0269,143.929,0.167,59
215,Superstar (Taylor’s Version),Fearless (Taylor's Version),18,51A8eKvvZz9uydvIZ7xRSV,spotify:track:51A8eKvvZz9uydvIZ7xRSV,0.157,0.454,0.555,0,0.343,-6.69,0.0283,171.862,0.171,59
216,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),19,1cSFlSBdpT4F5vb1frQ231,spotify:track:1cSFlSBdpT4F5vb1frQ231,0.0279,0.432,0.873,0,0.167,-4.367,0.0577,163.936,0.629,64
217,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),20,2JoJrsEV15OzbijS47lids,spotify:track:2JoJrsEV15OzbijS47lids,0.0135,0.482,0.779,0,0.296,-5.025,0.0409,158.162,0.328,62
218,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),21,4CHpVfAhuxNJ3ibExe6kxO,spotify:track:4CHpVfAhuxNJ3ibExe6kxO,0.816,0.599,0.494,0,0.101,-7.61,0.0372,142.893,0.44,59
219,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),22,2CYVETnhM9aytqrazYYwrK,spotify:track:2CYVETnhM9aytqrazYYwrK,0.162,0.66,0.817,0,0.0667,-6.269,0.0521,135.942,0.714,70
220,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),23,34V9RiEPe8MNdU32qJsJa1,spotify:track:34V9RiEPe8MNdU32qJsJa1,0.849,0.609,0.373,0,0.0779,-8.819,0.0263,106.007,0.13,62
221,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),24,7eResoqEJJAVTkQYSqvO3P,spotify:track:7eResoqEJJAVTkQYSqvO3P,0.225,0.588,0.608,0,0.092,-7.062,0.0365,90.201,0.508,64
222,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),25,4uuEGH5SVuzkkSFjo2DEiY,spotify:track:4uuEGH5SVuzkkSFjo2DEiY,0.514,0.563,0.473,1.20E-05,0.109,-11.548,0.0503,101.934,0.405,63
223,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),26,4qUijfYU8EoIWiY6oSyrgT,spotify:track:4qUijfYU8EoIWiY6oSyrgT,0.334,0.624,0.624,0,0.0995,-7.86,0.0539,80.132,0.527,61
224,willow,evermore (deluxe version),1,2gVhfX2Gy1T9kDuS9azrF7,spotify:track:2gVhfX2Gy1T9kDuS9azrF7,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,66
225,champagne problems,evermore (deluxe version),2,1gcyHQpBQ1lfXGdhZmWrHP,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,67
226,gold rush,evermore (deluxe version),3,3Dby3p1m6IOZn2gIIqECgK,spotify:track:3Dby3p1m6IOZn2gIIqECgK,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,64
227,‘tis the damn season,evermore (deluxe version),4,6sQckd3Z8NPxVVKUnavY1F,spotify:track:6sQckd3Z8NPxVVKUnavY1F,0.735,0.575,0.434,6.59E-05,0.105,-8.193,0.0312,145.916,0.348,64
228,tolerate it,evermore (deluxe version),5,6lCvK2AR2uOKkVFCVlAzzm,spotify:track:6lCvK2AR2uOKkVFCVlAzzm,0.878,0.316,0.361,2.67E-05,0.0797,-10.381,0.0488,74.952,0.221,66
229,"no body, no crime (feat. HAIM)",evermore (deluxe version),6,6uwfVkaOM1mcMkFmSn35ix,spotify:track:6uwfVkaOM1mcMkFmSn35ix,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,64
230,happiness,evermore (deluxe version),7,55Vf4bimc1Rtfg0PAQRAo2,spotify:track:55Vf4bimc1Rtfg0PAQRAo2,0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,0.211,62
231,dorothea,evermore (deluxe version),8,66tOfHVH3aUrscg8vExRV4,spotify:track:66tOfHVH3aUrscg8vExRV4,0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,0.354,61
232,coney island (feat. The National),evermore (deluxe version),9,2awNGIJHodfLZSClB3PYhz,spotify:track:2awNGIJHodfLZSClB3PYhz,0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,0.292,63
233,ivy,evermore (deluxe version),10,43Ykum9T72UOPhBN31grpN,spotify:track:43Ykum9T72UOPhBN31grpN,0.855,0.515,0.545,1.97E-05,0.0921,-9.277,0.0353,88.856,0.535,63
234,cowboy like me,evermore (deluxe version),11,52OkpDsU6MmPx1AwGOb6Ap,spotify:track:52OkpDsU6MmPx1AwGOb6Ap,0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,0.511,63
235,long story short,evermore (deluxe version),12,5VYWxXUpxuxEmCqMLDqICo,spotify:track:5VYWxXUpxuxEmCqMLDqICo,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,62
236,marjorie,evermore (deluxe version),13,5uICWmZTLkpEVbK22PBP6e,spotify:track:5uICWmZTLkpEVbK22PBP6e,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,63
237,closure,evermore (deluxe version),14,6a8aUhYbaQBUI8PcJ5ZmQ6,spotify:track:6a8aUhYbaQBUI8PcJ5ZmQ6,0.835,0.689,0.704,4.83E-06,0.134,-10.813,0.245,151.884,0.92,60
238,evermore (feat. Bon Iver),evermore (deluxe version),15,6Wlq9rqkxrqj5Kls4Kw14H,spotify:track:6Wlq9rqkxrqj5Kls4Kw14H,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,64
239,right where you left me - bonus track,evermore (deluxe version),16,3zwMVvkBe2qIKDObWgXw4N,spotify:track:3zwMVvkBe2qIKDObWgXw4N,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,0.645,74
240,it’s time to go - bonus track,evermore (deluxe version),17,1kdWw77ZpYOkhxeuhzU1j6,spotify:track:1kdWw77ZpYOkhxeuhzU1j6,0.801,0.592,0.41,1.39E-05,0.09,-12.426,0.0397,151.923,0.416,66
256,the 1,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],1,0P9wLFurlgumLXuqFEpw52,spotify:track:0P9wLFurlgumLXuqFEpw52,0.75,0.78,0.361,7.14E-06,0.108,-6.942,0.048,139.902,0.163,48
257,cardigan,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2,7zcnlq38eqNWyUF6eNaB5Z,spotify:track:7zcnlq38eqNWyUF6eNaB5Z,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,0.534,49
258,the last great american dynasty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],3,4ojxSyrEraN7d46BMBPThZ,spotify:track:4ojxSyrEraN7d46BMBPThZ,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,0.701,47
259,exile (feat. Bon Iver),folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],4,6kz2hkq1xQvDqPcUyBkw8f,spotify:track:6kz2hkq1xQvDqPcUyBkw8f,0.761,0.31,0.374,2.46E-05,0.11,-8.464,0.0275,75.938,0.16,48
260,my tears ricochet,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],5,0Oju1YcbPCJuUQQWoZNdJK,spotify:track:0Oju1YcbPCJuUQQWoZNdJK,0.814,0.456,0.265,0,0.0679,-10.663,0.0328,129.947,0.112,48
261,mirrorball,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],6,5jQyGzcwqAxwT5QUIMivoX,spotify:track:5jQyGzcwqAxwT5QUIMivoX,0.686,0.549,0.417,1.90E-06,0.0604,-10.064,0.035,110.137,0.347,46
262,seven,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],7,2vJ7QvyCiR4DaHxwO58izA,spotify:track:2vJ7QvyCiR4DaHxwO58izA,0.888,0.602,0.494,2.59E-05,0.0902,-10.813,0.0277,94.955,0.374,45
263,august,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],8,1UHoF9p75IVsvUt6WdTYhn,spotify:track:1UHoF9p75IVsvUt6WdTYhn,0.553,0.387,0.634,6.93E-05,0.0931,-9.222,0.0363,89.567,0.42,48
264,this is me trying,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],9,5DnDBYrfGoxdnomqEAkFIv,spotify:track:5DnDBYrfGoxdnomqEAkFIv,0.312,0.511,0.478,2.30E-05,0.147,-9.837,0.0322,135.882,0.408,47
265,illicit affairs,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],10,7CVTowKpGPA2MsIbkTl2oc,spotify:track:7CVTowKpGPA2MsIbkTl2oc,0.862,0.529,0.304,0,0.108,-10.567,0.0356,119.58,0.44,46
266,invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11,4WHIqhrbdva5vQSrCuet3l,spotify:track:4WHIqhrbdva5vQSrCuet3l,0.859,0.651,0.459,6.63E-05,0.105,-11.128,0.0507,83.455,0.454,46
267,mad woman,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],12,7klXN6RCN5Rj0VeYO5gBzU,spotify:track:7klXN6RCN5Rj0VeYO5gBzU,0.67,0.593,0.7,6.77E-06,0.116,-9.016,0.0492,141.898,0.451,44
268,epiphany,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],13,5MFjHn1qfR9AsWuyzJLk1z,spotify:track:5MFjHn1qfR9AsWuyzJLk1z,0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,0.103,43
269,betty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],14,2jhfs6moEAK13eLM6xim4l,spotify:track:2jhfs6moEAK13eLM6xim4l,0.589,0.595,0.376,0,0.0989,-8.767,0.0256,95.946,0.476,45
270,peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],15,0O9i6jhscByEJs1ipy5hu4,spotify:track:0O9i6jhscByEJs1ipy5hu4,0.916,0.644,0.284,1.50E-05,0.0909,-12.879,0.0821,150.072,0.328,43
271,hoax,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],16,4XCYmu7QLySdIahgBALKJK,spotify:track:4XCYmu7QLySdIahgBALKJK,0.964,0.676,0.178,7.90E-06,0.135,-15.01,0.0394,118.84,0.404,43
272,the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],17,0zEprKYeuGOIZoHyu6O1E2,spotify:track:0zEprKYeuGOIZoHyu6O1E2,0.842,0.313,0.258,1.30E-06,0.0948,-11.532,0.0383,179.947,0.268,45
273,the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],1,08J4bMHbILkwSIhbtrcvjN,spotify:track:08J4bMHbILkwSIhbtrcvjN,0.898,0.708,0.25,0.026,0.102,-10.731,0.0361,139.803,0.156,54
274,cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2,3EPgWM1zfTSzEc0z4AwWTM,spotify:track:3EPgWM1zfTSzEc0z4AwWTM,0.88,0.395,0.234,0,0.107,-9.704,0.0382,86.478,0.247,54
275,the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],3,28tIMaewZuGR8urkvFhQyA,spotify:track:28tIMaewZuGR8urkvFhQyA,0.743,0.64,0.618,0.004,0.0574,-11.715,0.0379,147.948,0.614,51
276,exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],4,7N015NTIWGjQDddHUdHPoO,spotify:track:7N015NTIWGjQDddHUdHPoO,0.848,0.359,0.305,6.74E-05,0.111,-10.295,0.0306,151.956,0.108,53
277,my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],5,5mdNyCS7ttVcAyVYOIFEjs,spotify:track:5mdNyCS7ttVcAyVYOIFEjs,0.946,0.531,0.172,1.01E-05,0.0615,-12.34,0.0351,129.007,0.168,55
278,mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],6,2yceD2hx5HhOLgkm1CITCi,spotify:track:2yceD2hx5HhOLgkm1CITCi,0.78,0.509,0.386,3.45E-05,0.118,-8.434,0.0272,109.993,0.109,53
279,seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],7,4cOWq0cVsKjxaQpRMbDoH1,spotify:track:4cOWq0cVsKjxaQpRMbDoH1,0.914,0.694,0.449,0.000126,0.1,-11.49,0.0301,94.963,0.363,51
280,august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],8,4MGexoZc12lqE0hYkq9YYx,spotify:track:4MGexoZc12lqE0hYkq9YYx,0.5,0.554,0.663,4.77E-05,0.791,-8.961,0.0324,89.977,0.545,54
281,this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],9,1gaLZjPrDnHQWJds2Jg4KT,spotify:track:1gaLZjPrDnHQWJds2Jg4KT,0.928,0.435,0.332,0.000898,0.0867,-11.611,0.031,68.097,0.157,54
282,illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],10,560uQyz3p5G9WdnMX39xc6,spotify:track:560uQyz3p5G9WdnMX39xc6,0.883,0.489,0.235,0,0.113,-10.274,0.0356,117.699,0.435,53
283,invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11,5KByGq0JijSSDcy0qzuINs,spotify:track:5KByGq0JijSSDcy0qzuINs,0.942,0.59,0.282,4.85E-06,0.11,-10.542,0.0281,83.438,0.351,51
284,mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],12,04xrhDrQ2WOW8GLwu7kbc0,spotify:track:04xrhDrQ2WOW8GLwu7kbc0,0.887,0.663,0.465,0.000168,0.109,-10.463,0.0408,141.834,0.346,50
285,epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],13,4yyKppX85ZkmlGOC2toBZA,spotify:track:4yyKppX85ZkmlGOC2toBZA,0.916,0.524,0.2,0.000392,0.068,-13.004,0.0274,93.87,0.113,49
286,betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],14,1mh5dObNoOvCfHmXnhvDEK,spotify:track:1mh5dObNoOvCfHmXnhvDEK,0.841,0.538,0.316,0,0.119,-9.5,0.0299,95.68,0.518,51
287,peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],15,4YHHz3VIXgNDGdoL9xC1tx,spotify:track:4YHHz3VIXgNDGdoL9xC1tx,0.93,0.619,0.344,7.61E-05,0.0734,-11.472,0.0647,149.897,0.513,50
288,hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],16,0QTBsdoJhamY3Aid3fOsOd,spotify:track:0QTBsdoJhamY3Aid3fOsOd,0.962,0.682,0.155,0,0.18,-13.083,0.0394,118.832,0.483,51
289,the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],17,6mqyTq948oap5AkyTsd6XF,spotify:track:6mqyTq948oap5AkyTsd6XF,0.794,0.606,0.221,0,0.0888,-11.767,0.0468,89.844,0.112,53
323,I Forgot That You Existed,Lover,1,43rA71bccXFGD4C8GOpIlN,spotify:track:43rA71bccXFGD4C8GOpIlN,0.298,0.664,0.316,2.03E-06,0.0812,-10.345,0.519,92.875,0.541,71
324,Cruel Summer,Lover,2,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,2.06E-05,0.105,-5.707,0.157,169.994,0.564,93
325,Lover,Lover,3,1dGr1c8CrMLDpV6mPbImSI,spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.492,0.359,0.543,1.58E-05,0.118,-7.582,0.0919,68.534,0.453,86
326,The Man,Lover,4,3RauEVgRgj1IuWdJ9fDs70,spotify:track:3RauEVgRgj1IuWdJ9fDs70,0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,0.633,81
327,The Archer,Lover,5,3pHkh7d0lzM2AldUtz2x37,spotify:track:3pHkh7d0lzM2AldUtz2x37,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,75
328,I Think He Knows,Lover,6,2YWtcWi3a83pdEg3Gif4Pd,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,0.416,72
329,Miss Americana & The Heartbreak Prince,Lover,7,214nt20w5wOxJnY462klLw,spotify:track:214nt20w5wOxJnY462klLw,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,0.487,79
330,Paper Rings,Lover,8,4y5bvROuBDPr5fuwXbIBZR,spotify:track:4y5bvROuBDPr5fuwXbIBZR,0.0129,0.811,0.719,1.36E-05,0.0742,-6.553,0.0497,103.979,0.865,78
331,Cornelia Street,Lover,9,12M5uqx0ZuwkpLp5rJim1a,spotify:track:12M5uqx0ZuwkpLp5rJim1a,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,0.248,74
332,Death By A Thousand Cuts,Lover,10,2dgFqt3w9xIQRjhPtwNk3D,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,0.313,72
333,London Boy,Lover,11,1LLXZFeAHK9R4xUramtUKw,spotify:track:1LLXZFeAHK9R4xUramtUKw,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,0.557,74
334,Soon You’ll Get Better (feat. The Chicks),Lover,12,4AYtqFyFbX0Xkc2wtcygTr,spotify:track:4AYtqFyFbX0Xkc2wtcygTr,0.907,0.433,0.182,0,0.123,-12.566,0.0641,207.476,0.421,66
335,False God,Lover,13,5hQSXkFgbxjZo9uCwd11so,spotify:track:5hQSXkFgbxjZo9uCwd11so,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,73
336,You Need To Calm Down,Lover,14,6RRNNciQGZEXnqk8SQ9yv5,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,0.00929,0.771,0.671,0,0.0637,-5.617,0.0553,85.026,0.714,80
337,Afterglow,Lover,15,1SymEzIT3H8UZfibCs3TYi,spotify:track:1SymEzIT3H8UZfibCs3TYi,0.13,0.756,0.449,0,0.114,-8.746,0.0344,111.011,0.399,74
